Title,Genres,Total Play Time,Rating,Storage Required,Release Year,Developer,Publisher,Price
Far Cry 5,"Simulation, Adventure, Strategy",629.36,3.1,62.1,2016,Ubisoft,Bethesda,53.07
Assassin's Creed Odyssey,Simulation,802.01,5,55.6,2016,Rockstar Games,Bandai Namco,30.78
Just Cause 4,RPG,735.6,1.7,57.9,2011,Bungie,Sega,20.71
Metro Exodus,Open World,793.92,1.2,34.4,2015,EA,Nintendo,27.09
Destiny 2,Sports,645.47,4.2,78.9,2023,Bethesda,Microsoft,50.27
Resident Evil 2,Racing,630.81,4.1,10.2,2009,Valve,Electronic Arts,1.28
Monster Hunter: World,"Open World, Sports",530.09,5.1,63.4,2001,BioWare,Electronic Arts,27.97
The Sims 4,"MMORPG, Racing, RPG",435.28,6.9,83.1,2001,CD Projekt Red,Nintendo,37.79
Sid Meier's Civilization VI,"Open World, MMORPG, RPG",283.81,8.7,,2010,Rockstar Games,Sega,43.22
The Legend of Zelda: Breath of the Wild,"Simulation, Sports",796.9,2.7,27.9,2015,Rockstar Games,Nintendo,26.64
Super Mario Odyssey,Puzzle,175.71,2.6,19.9,2006,BioWare,Bethesda,49.7
God of War,"Simulation, RPG, Sports",746.85,4.1,83.8,2017,Rockstar Games,Activision,55.81
Bloodborne,RPG,794.34,9.4,98.2,2023,EA,Microsoft,49.6
Horizon Zero Dawn,Strategy,539.7,9.8,77.8,2002,Rockstar Games,Sega,12.01
Persona 5,"Open World, Racing",982.34,4.2,44.4,2011,Valve,Activision,9.22
Final Fantasy XV,MMORPG,180.67,8.6,65.7,2016,Epic Games,Nintendo,53.17
The Last of Us,"Simulation, Strategy",196.71,9.9,76.6,2018,Valve,,31.6
Death Stranding,"Open World, Puzzle",55.58,5.7,81,2017,Nintendo,Activision,11.66
Apex Legends,"MMORPG, Puzzle, Adventure",57.6,6.9,45.7,2012,Epic Games,Bethesda,33.08
Dota Underlords,Sports,885.91,8.8,63.4,2022,EA,Bethesda,57.63
Counter-Strike: Global Offensive,Puzzle,640.72,4,83.3,2017,EA,Square Enix,39.42
Grand Theft Auto V,"First-person shooter, Racing",46.53,3.3,24.3,2012,Bethesda,Bethesda,49.87
PlayerUnknown's Battlegrounds,"First-person shooter, RPG, Simulation",287.57,5.3,49.1,2022,Bethesda,Electronic Arts,19.13
Rocket League,Strategy,481.59,8.6,8.6,2015,CD Projekt Red,Capcom,40.27
The Witcher 3: Wild Hunt,Open World,88.59,4.5,71.9,2018,Bethesda,Microsoft,6.54
Red Dead Redemption 2,"RPG, Racing, Strategy",240.11,8.7,90.3,2000,CD Projekt Red,Square Enix,26.25
Cyberpunk 2077,"Racing, Strategy",248,7.8,38.1,2011,Valve,,57.4
DOOM Eternal,Strategy,300.18,,56.1,2007,Rockstar Games,Sony,12.9
Stardew Valley,"First-person shooter, MMORPG, Sports",890.08,2,91.9,2022,Nintendo,Square Enix,2
Terraria,Racing,422.18,2.6,23.9,2020,CD Projekt Red,Bandai Namco,11.24
Dark Souls III,"Strategy, First-person shooter, Simulation",415.9,6.1,82,2023,EA,Square Enix,27.21
Hades,Sports,709.15,9,84.3,2003,CD Projekt Red,Sony,10.65
Half-Life: Alyx,"Sports, Simulation, MMORPG",522.62,8.7,99.1,2004,BioWare,Microsoft,
Valheim,RPG,851.53,9.4,51.8,2005,CD Projekt Red,Square Enix,11.3
Among Us,"Puzzle, Simulation, MMORPG",338.93,8.7,8.8,2009,Nintendo,Sony,59.64
Rust,"Simulation, Strategy",171.47,6.7,23.8,2004,BioWare,Bethesda,56.01
ARK: Survival Evolved,"MMORPG, Sports, Strategy",807.1,4.7,79,2015,Ubisoft,Sega,53.74
Fallout 4,"Strategy, Sports",838.05,3.2,11.5,2000,Valve,Nintendo,42.19
Sekiro: Shadows Die Twice,Simulation,607.64,4.5,64.9,2004,Nintendo,Bethesda,16.83
Hollow Knight,"Adventure, Strategy",8.95,2.7,38.1,2020,Rockstar Games,Bethesda,29.02
Slay the Spire,Sports,89.88,8.6,45,2021,Nintendo,Electronic Arts,0.52
Portal 2,"Adventure, First-person shooter",279.23,5.9,11,2001,CD Projekt Red,Bethesda,55.92
Subnautica,Racing,431.97,6,23.2,2016,Epic Games,Square Enix,49.78
Borderlands 3,Sports,778.06,5.7,,2006,Epic Games,Capcom,7.9
Overwatch,Adventure,708.07,4.6,94.7,2008,Bethesda,Bethesda,17.15
Fortnite,"First-person shooter, Open World, Strategy",201.41,8.6,73.9,2006,Bungie,Sega,21.61
Minecraft,Puzzle,9.18,6,58.9,2020,EA,Sega,39.37
The Elder Scrolls V: Skyrim,"Sports, RPG, Simulation",112.32,9.7,97.9,2016,Bungie,Capcom,39.64
Left 4 Dead 2,"Sports, First-person shooter, MMORPG",105.91,4.4,36,2019,Rockstar Games,Activision,48.05
Team Fortress 2,"Adventure, First-person shooter, MMORPG",732.9,9.5,80.1,2007,Epic Games,Square Enix,8.82
Tom Clancy's Rainbow Six Siege,"RPG, First-person shooter, Adventure",568.15,4.6,83.3,2014,Valve,Microsoft,35.23
BioShock Infinite,"First-person shooter, Puzzle",236.14,4.1,25.7,2007,Bungie,Capcom,9.72
Far Cry 5,"Adventure, Sports",,9.8,23.3,2022,EA,Microsoft,48.72
Assassin's Creed Odyssey,"Sports, First-person shooter, Open World",770.94,2.8,69.6,2012,Rockstar Games,Electronic Arts,36.19
Just Cause 4,Puzzle,624.05,6.9,33,2023,Bethesda,Electronic Arts,29.68
Metro Exodus,"Puzzle, RPG",235.12,5.5,78.8,2021,Bethesda,Electronic Arts,38.01
Destiny 2,"Simulation, MMORPG, RPG",573.95,1.6,96.2,2013,,Bandai Namco,42.79
Resident Evil 2,"Racing, MMORPG, Simulation",746.4,7.1,69.7,2009,Epic Games,Electronic Arts,27.29
Monster Hunter: World,"Puzzle, Sports",99.84,4.9,84.4,2013,BioWare,Sony,32.88
The Sims 4,"First-person shooter, Open World",322.37,3.6,29.1,2004,BioWare,Bethesda,35.2
Sid Meier's Civilization VI,"Puzzle, Sports",806.11,7.4,47.7,2011,Ubisoft,Capcom,52
The Legend of Zelda: Breath of the Wild,"Adventure, RPG",476.78,9.5,11.1,2016,EA,Capcom,23.57
Super Mario Odyssey,Simulation,691.62,1.2,57,2019,Rockstar Games,Microsoft,4.94
God of War,"Open World, RPG",14.63,10,14,2012,Rockstar Games,Capcom,8.03
Bloodborne,MMORPG,866.53,10,62.4,2013,Bungie,Square Enix,56.6
Horizon Zero Dawn,MMORPG,164.12,1.3,49.7,2003,Bethesda,Bandai Namco,1.98
Persona 5,"Adventure, Open World, RPG",654.1,7.4,60.9,2017,Valve,Sega,54.13
Final Fantasy XV,Racing,974.68,9.4,79.7,2007,Rockstar Games,Microsoft,28.36
The Last of Us,"Adventure, First-person shooter, Strategy",616.57,6.3,66.8,2004,Ubisoft,Sony,6.89
Death Stranding,Puzzle,625.62,9.9,89.5,2019,Rockstar Games,Square Enix,39.28
Apex Legends,Strategy,325.93,5,,2000,Valve,Activision,41.9
Dota Underlords,"Adventure, RPG, Puzzle",395.32,9.8,83.2,2015,Rockstar Games,Capcom,2.79
Counter-Strike: Global Offensive,Simulation,906.09,8.3,81.3,2013,Rockstar Games,Activision,46.44
Grand Theft Auto V,Sports,595.97,2.9,46.9,2006,Bethesda,Bandai Namco,56.01
PlayerUnknown's Battlegrounds,Strategy,204.03,5.1,41.5,2006,EA,Bandai Namco,40
Rocket League,First-person shooter,451.49,1.3,49.7,2013,Bethesda,Sony,14.17
The Witcher 3: Wild Hunt,"Strategy, Open World",772.78,9.8,57.3,2013,Bethesda,Electronic Arts,11.19
Red Dead Redemption 2,First-person shooter,278.71,7.5,76.3,2014,Ubisoft,Activision,30.66
Cyberpunk 2077,"Adventure, Simulation",642.67,2.1,50.4,2003,Bethesda,Sega,27.7
DOOM Eternal,Open World,973.61,8.4,45.4,2017,Bungie,Activision,26.48
Stardew Valley,"Adventure, Sports",667.3,3.5,2.2,2018,Bethesda,Sony,49.47
Terraria,Adventure,891.88,2.9,66.6,2001,Ubisoft,Nintendo,36.31
Dark Souls III,Sports,302.82,1.7,78.8,2009,Epic Games,Activision,4.75
Hades,"RPG, Open World",911.9,6.2,61.2,2020,,Nintendo,2.78
Half-Life: Alyx,"RPG, Simulation, First-person shooter",,9.2,3.6,2021,CD Projekt Red,Microsoft,16.12
Valheim,Racing,980.96,8.9,76.3,2017,CD Projekt Red,Activision,35.49
Among Us,First-person shooter,161.57,4.7,22.7,2010,Valve,Square Enix,18.11
Rust,First-person shooter,169.55,4.2,30,2023,Epic Games,Sony,27.49
ARK: Survival Evolved,"Simulation, Sports, Adventure",751.82,8.6,74,2018,Valve,Bethesda,11.83
Fallout 4,"Sports, Racing, First-person shooter",951.41,9.6,15,2001,Epic Games,Bandai Namco,52.33
Sekiro: Shadows Die Twice,"First-person shooter, MMORPG, Open World",645.04,9.5,94.2,2000,Bethesda,Activision,9.39
Hollow Knight,Sports,169.99,7.1,73.3,2003,BioWare,Sega,49.01
Slay the Spire,MMORPG,220.87,9.2,31,2007,Bethesda,Square Enix,6.56
Portal 2,Puzzle,846.68,7.6,37.8,2017,Bungie,Microsoft,12.41
Subnautica,"Strategy, RPG",383.38,9.8,70.3,2021,Valve,Electronic Arts,45.68
Borderlands 3,"Simulation, Racing",478.55,1.6,83.8,2017,Bethesda,Square Enix,12.88
Overwatch,"Puzzle, Strategy",495.71,4.6,,2020,BioWare,Nintendo,8.79
Fortnite,"Simulation, Puzzle",773.41,7.4,26.7,2018,Epic Games,Microsoft,45.87
Minecraft,Puzzle,383.01,3.5,80.4,2010,,Activision,26.37
The Elder Scrolls V: Skyrim,"MMORPG, Sports, Simulation",674.72,3,75.5,2015,Epic Games,Capcom,
Left 4 Dead 2,Puzzle,507.53,4.6,15.2,2019,BioWare,Capcom,48.38
Team Fortress 2,"Simulation, Open World",37.48,1,20.3,2018,Rockstar Games,Activision,32.25
Tom Clancy's Rainbow Six Siege,"RPG, Adventure",803.51,1.5,26.4,2022,Bungie,Bandai Namco,19.93
BioShock Infinite,"First-person shooter, Sports, Strategy",198.28,6.7,49.8,2022,Nintendo,Microsoft,48.33
Far Cry 5,Simulation,267.95,4.1,10.7,2003,Ubisoft,Bandai Namco,26.86
Assassin's Creed Odyssey,"RPG, Adventure",595.38,5.8,60.5,2018,Epic Games,Bandai Namco,38.83
Just Cause 4,"Sports, Racing",147.37,6.2,76.7,2016,Ubisoft,Microsoft,54.89
Metro Exodus,"Adventure, Racing, Open World",401.26,9.6,68.5,2008,Bungie,Activision,13.42
Destiny 2,"MMORPG, Sports, Adventure",541.8,5.7,77.8,2021,Valve,Electronic Arts,8.67
Resident Evil 2,"Strategy, RPG, Simulation",485.97,4.8,50.2,2018,BioWare,Activision,57.26
Monster Hunter: World,"RPG, MMORPG",362.44,3.4,58.2,2020,Rockstar Games,Electronic Arts,15.76
The Sims 4,"First-person shooter, RPG, Adventure",,4.1,95.2,2020,Epic Games,Nintendo,15.54
Sid Meier's Civilization VI,Sports,845.28,6,27.7,2006,CD Projekt Red,Sony,16
The Legend of Zelda: Breath of the Wild,RPG,834.53,4.4,42.3,2006,CD Projekt Red,Electronic Arts,13.72
Super Mario Odyssey,"Strategy, Racing",667,5.8,40.7,2008,Bungie,Sega,36.28
God of War,Racing,551.8,1.5,59.2,2009,Bethesda,Electronic Arts,21.75
Bloodborne,"RPG, Adventure",474.94,4.5,1.6,2010,Bungie,Sega,48.78
Horizon Zero Dawn,Strategy,940.95,6.5,86.5,2007,CD Projekt Red,Capcom,48.6
Persona 5,First-person shooter,529.7,1.3,49.6,2006,Valve,Activision,3.26
Final Fantasy XV,Adventure,997.97,8.2,97.3,2022,Bungie,Microsoft,18.35
The Last of Us,"Adventure, MMORPG",326.34,3.6,29.8,2010,Bungie,Electronic Arts,52.54
Death Stranding,"Adventure, MMORPG",320,5.8,17.2,2016,,Square Enix,53.7
Apex Legends,Sports,156.14,8.7,61.2,2022,Rockstar Games,Bandai Namco,44.42
Dota Underlords,MMORPG,345.29,5.3,8.3,2006,Ubisoft,Sony,29.48
Counter-Strike: Global Offensive,"RPG, First-person shooter",815.68,9.4,5.7,2015,Valve,Microsoft,23.11
Grand Theft Auto V,"Racing, Simulation, First-person shooter",586.07,9.7,68.1,2003,Bethesda,Capcom,16.54
PlayerUnknown's Battlegrounds,"Strategy, Simulation",224.38,5,91.4,2011,Epic Games,Nintendo,29.52
Rocket League,Strategy,361.27,3.2,94.8,2015,Ubisoft,Sony,43.42
The Witcher 3: Wild Hunt,"Strategy, Simulation, Racing",104.38,8,74.1,2001,Bethesda,Square Enix,1.4
Red Dead Redemption 2,"Sports, Adventure, Racing",465.39,2.3,25,2023,Rockstar Games,Square Enix,3.94
Cyberpunk 2077,Simulation,644.77,7.5,28.2,2000,Epic Games,Capcom,39.88
DOOM Eternal,Strategy,512.66,7.9,3.6,2005,Bethesda,Electronic Arts,58.23
Stardew Valley,"Adventure, Strategy, Puzzle",301.22,5,40.2,2017,Epic Games,Bandai Namco,6.9
Terraria,"Sports, First-person shooter",259.45,2.3,77.9,2008,Epic Games,Sega,17.47
Dark Souls III,"MMORPG, RPG, Adventure",41.77,4.3,57.5,2005,Ubisoft,Nintendo,1.24
Hades,"Simulation, Adventure, RPG",336.16,,18.4,2010,Nintendo,Capcom,33.5
Half-Life: Alyx,"Adventure, First-person shooter",255.48,7.7,53.6,2013,Epic Games,Activision,23.75
Valheim,Sports,157.09,9.8,51,2005,Epic Games,Square Enix,44.55
Among Us,Sports,446.91,5.5,95.9,2007,Rockstar Games,,59.93
Rust,"Sports, Racing",651.89,6.3,2.9,2005,CD Projekt Red,Bandai Namco,6.65
ARK: Survival Evolved,Simulation,779.62,5.3,40.3,2005,Epic Games,Electronic Arts,52.75
Fallout 4,"Strategy, First-person shooter",365.94,7.5,94,2002,EA,Bethesda,23.03
Sekiro: Shadows Die Twice,"Strategy, Sports, RPG",170.43,1.3,73.6,2011,Rockstar Games,Bethesda,1.26
Hollow Knight,Sports,212.36,6.7,14.4,2022,Bungie,Sony,18.8
Slay the Spire,RPG,566.76,5.9,60.9,2021,EA,Sony,4.18
Portal 2,"RPG, Puzzle",232.63,2.3,5.1,2007,EA,Microsoft,25.49
Subnautica,"Simulation, Adventure, RPG",600.15,2.5,77.6,2017,Ubisoft,Bethesda,54.13
Borderlands 3,"Adventure, First-person shooter",532.28,7.5,76,2011,Ubisoft,Sony,10.68
Overwatch,First-person shooter,936.15,1.9,78.2,2013,BioWare,Capcom,54.45
Fortnite,"RPG, Sports",286.85,8.3,72.9,2022,EA,Bandai Namco,57.43
Minecraft,RPG,706.44,8.7,3.8,2022,Bungie,Bandai Namco,50.98
The Elder Scrolls V: Skyrim,"Puzzle, First-person shooter, Simulation",940.84,1.6,31.4,2011,Bungie,Bandai Namco,47.27
Left 4 Dead 2,"Strategy, Adventure",481.16,4.6,84.6,2021,Bungie,Activision,35.16
Team Fortress 2,"RPG, Puzzle",774.52,6.5,12.1,2011,EA,Bandai Namco,33
Tom Clancy's Rainbow Six Siege,"First-person shooter, Adventure",857.7,5.1,9.1,2002,EA,Sony,21.02
BioShock Infinite,Puzzle,283.41,1.5,47.3,2001,EA,Sega,47.04
Far Cry 5,First-person shooter,451.13,4,38.9,2010,Bungie,Bandai Namco,55.81
Assassin's Creed Odyssey,"Simulation, Sports",479.01,4.9,60.1,2010,Bethesda,Bethesda,30.38
Just Cause 4,Strategy,519.51,8.9,84.1,2018,Nintendo,Sony,45.73
Metro Exodus,"MMORPG, Racing",726.57,9.9,74.7,2013,EA,Activision,48.88
Destiny 2,"First-person shooter, Adventure, MMORPG",252.93,1.4,11.7,2006,Bungie,Sega,42.52
Resident Evil 2,First-person shooter,377.98,7,34.3,2001,Nintendo,Microsoft,50.86
Monster Hunter: World,"First-person shooter, Open World",489.24,4.8,30.7,2006,Valve,Sony,31.75
The Sims 4,"First-person shooter, Adventure, Racing",699.32,9.1,7.2,2013,Rockstar Games,Microsoft,5.35
Sid Meier's Civilization VI,MMORPG,884.76,6.1,10.5,2009,EA,Square Enix,44.26
The Legend of Zelda: Breath of the Wild,Adventure,186.75,4.5,53.8,2002,Nintendo,Activision,1.3
Super Mario Odyssey,"MMORPG, Adventure, Racing",27.18,1.9,83.7,2005,CD Projekt Red,Sony,57.83
God of War,"Open World, Sports, Adventure",946.56,3.6,26.2,2010,Valve,Bethesda,39.5
Bloodborne,"Puzzle, MMORPG, Simulation",16.03,8.5,23.5,2015,Nintendo,Sony,40.39
Horizon Zero Dawn,Strategy,208.63,6,97.1,2003,Rockstar Games,Bethesda,12.47
Persona 5,"Puzzle, Adventure",309.33,3.3,48.8,2010,Ubisoft,Square Enix,38.49
Final Fantasy XV,Adventure,688.88,9.5,92.6,2001,Rockstar Games,Microsoft,44.38
The Last of Us,"Open World, First-person shooter, Adventure",183.82,5.9,76.4,2010,Nintendo,Sony,31.7
Death Stranding,"Strategy, First-person shooter, Open World",877.68,1.3,32.7,2011,BioWare,Activision,6.77
Apex Legends,"Sports, Simulation, Puzzle",102.47,8.6,4.5,2017,Rockstar Games,Electronic Arts,52.3
Dota Underlords,RPG,503.06,6.8,2.8,2005,Bungie,Electronic Arts,51.7
Counter-Strike: Global Offensive,"Racing, Open World",159.18,3.5,83.1,2008,Ubisoft,Sony,59.22
Grand Theft Auto V,"Sports, Simulation, Open World",578.91,5,2.6,2022,CD Projekt Red,Electronic Arts,12.59
PlayerUnknown's Battlegrounds,First-person shooter,518.85,1.6,1.3,2001,Nintendo,Bandai Namco,5.69
Rocket League,"MMORPG, Racing",822.56,3.2,94.8,2009,Rockstar Games,Square Enix,18.6
The Witcher 3: Wild Hunt,"First-person shooter, Sports",470.81,6.7,27.7,2018,Bethesda,Square Enix,43.54
Red Dead Redemption 2,Strategy,249.85,6.3,60.2,2020,Valve,Bandai Namco,41.2
Cyberpunk 2077,"Sports, Strategy",504.8,6.6,95.3,2014,EA,Electronic Arts,24.26
DOOM Eternal,"Racing, MMORPG, Open World",874.5,8.2,33.7,2017,Bungie,Bethesda,24.29
Stardew Valley,Sports,870.15,6.1,97,2021,Bethesda,Nintendo,33.08
Terraria,"Sports, MMORPG",511.27,1.7,55.8,2004,Nintendo,Sega,35.12
Dark Souls III,"Strategy, Simulation",346.66,4.5,37,2001,Bethesda,Sega,19.59
Hades,Adventure,560.25,9.4,53,2020,Valve,Activision,14.09
Half-Life: Alyx,"Open World, Racing, Strategy",328.59,5.3,42.9,2018,Epic Games,Electronic Arts,15.51
Valheim,Open World,467.65,5.7,86.3,2021,Rockstar Games,Activision,53.05
Among Us,Sports,756.51,1.1,25.5,2012,Bungie,Activision,29.66
Rust,"RPG, MMORPG, First-person shooter",314.01,3.4,50.9,2017,Nintendo,Sega,57.04
ARK: Survival Evolved,"Simulation, First-person shooter",486.24,6.2,95.6,2007,EA,Bandai Namco,21.04
Fallout 4,RPG,792.01,1.1,50.4,2009,Nintendo,Capcom,59.26
Sekiro: Shadows Die Twice,"Strategy, Racing",45.55,2.8,41.4,2018,Bethesda,Activision,10.25
Hollow Knight,"MMORPG, Sports, Puzzle",671.14,8.5,17.8,2017,BioWare,Bandai Namco,4.59
Slay the Spire,First-person shooter,385.28,2.3,58.9,2014,EA,Square Enix,55.1
Portal 2,"Racing, Simulation",705.56,3.1,60.9,2004,Epic Games,Capcom,11.55
Subnautica,"First-person shooter, Sports",884.92,7.4,83.7,2001,Epic Games,Square Enix,55.91
Borderlands 3,"First-person shooter, Simulation, Strategy",102.45,3.5,64,2011,BioWare,Square Enix,24.07
Overwatch,"Puzzle, Racing",25.91,9.7,82.5,2007,CD Projekt Red,Square Enix,40.78
Fortnite,"Open World, Sports",584.83,2.7,91.5,2009,EA,Microsoft,17.3
Minecraft,Sports,536.42,5.9,98.1,2008,Ubisoft,Nintendo,54.35
The Elder Scrolls V: Skyrim,"Simulation, MMORPG",490.89,4.6,24.6,2021,BioWare,Nintendo,56.4
Left 4 Dead 2,"First-person shooter, Racing",925.58,10,88.7,2014,Ubisoft,Electronic Arts,15.92
Team Fortress 2,"MMORPG, Racing",932.23,6.3,100,2011,Ubisoft,Capcom,35.05
Tom Clancy's Rainbow Six Siege,Puzzle,751.7,2.8,49.5,2008,Bungie,Capcom,18.03
BioShock Infinite,First-person shooter,495.81,1.8,18.6,2012,CD Projekt Red,Nintendo,49
Far Cry 5,"RPG, Puzzle, Sports",794.37,7.8,62.7,2004,Epic Games,Sony,37.02
Assassin's Creed Odyssey,Puzzle,877.22,6.1,50,2016,Nintendo,Electronic Arts,46.53
Just Cause 4,Sports,153.74,1.6,86.2,2015,Bungie,Sega,21.16
Metro Exodus,Puzzle,345.14,3,82,2020,EA,Activision,19.23
Destiny 2,RPG,547.3,3,17.8,2015,CD Projekt Red,Square Enix,48.76
Resident Evil 2,"First-person shooter, Adventure, Puzzle",871.79,8.3,29.7,2016,Epic Games,Capcom,14.61
Monster Hunter: World,"RPG, First-person shooter",394.94,6.8,44,2008,EA,Capcom,8.09
The Sims 4,"MMORPG, Strategy",985.28,4.3,75.5,2003,Ubisoft,Bandai Namco,21.98
Sid Meier's Civilization VI,"Adventure, Open World",404.58,5.9,81.7,2005,Bungie,Activision,51.98
The Legend of Zelda: Breath of the Wild,Puzzle,467.78,8,8.9,2003,CD Projekt Red,Sega,55.26
Super Mario Odyssey,"Adventure, Open World",567.16,7.2,97.8,2011,Epic Games,Square Enix,11.86
God of War,"Sports, First-person shooter",238.5,4.7,80.9,2000,Bethesda,Sony,18.04
Bloodborne,"Adventure, Simulation",661.63,7.9,33.4,2010,EA,Microsoft,20.28
Horizon Zero Dawn,"Puzzle, Sports, First-person shooter",560.57,8.4,18.4,2009,EA,Bethesda,52.02
Persona 5,"Open World, Puzzle, Simulation",832.38,8.7,11.8,2011,BioWare,Microsoft,4.58
Final Fantasy XV,"Sports, Simulation, Open World",259.86,5.1,23.1,2020,Rockstar Games,Bandai Namco,42
The Last of Us,"Adventure, Simulation",271.56,1.6,86,2017,Epic Games,Electronic Arts,53.93
Death Stranding,"Racing, Strategy",255.74,6.8,78.5,2008,Bungie,Sony,50.49
Apex Legends,"Strategy, First-person shooter",284.64,5,43.7,2010,Rockstar Games,Square Enix,2.71
Dota Underlords,Sports,435.83,8.8,69.2,2002,Valve,Bethesda,37.63
Counter-Strike: Global Offensive,"Racing, Sports, Open World",259.72,5.9,50.1,2008,Ubisoft,Electronic Arts,46.23
Grand Theft Auto V,RPG,338.25,6.1,74.1,2003,Valve,Microsoft,53.28
PlayerUnknown's Battlegrounds,Strategy,922.2,7.7,44.1,2001,EA,Bandai Namco,12.19
Rocket League,"Puzzle, First-person shooter, RPG",492.24,9.7,95.3,2012,Valve,Nintendo,50.96
The Witcher 3: Wild Hunt,"Sports, Simulation, First-person shooter",305.39,9.4,26.5,2019,Rockstar Games,Sony,34.04
Red Dead Redemption 2,"First-person shooter, Adventure",741.28,6.8,44.2,2021,EA,Nintendo,18.68
Cyberpunk 2077,Puzzle,501.69,2.3,97.3,2006,Bethesda,Bethesda,43.76
DOOM Eternal,"Strategy, RPG",294.45,6,98.1,2018,Nintendo,Bandai Namco,41.95
Stardew Valley,"Simulation, Open World",278.19,9.3,73.5,2021,Epic Games,Activision,56.44
Terraria,"Sports, Racing",455.53,2.7,17.1,2017,CD Projekt Red,Electronic Arts,11.88
Dark Souls III,"MMORPG, Puzzle, Open World",764.04,6.7,48.4,2020,Bungie,Bandai Namco,57.5
Hades,Simulation,995.94,8.6,66.4,2021,CD Projekt Red,Square Enix,13.22
Half-Life: Alyx,"MMORPG, Puzzle, Sports",802.75,9.8,76.1,2001,BioWare,Sony,9.92
Valheim,Sports,427.06,3.7,47.2,2011,Ubisoft,Activision,31.37
Among Us,"Open World, MMORPG",237.3,8.2,7.7,2008,Bungie,Microsoft,24.04
Rust,"Adventure, Puzzle",159.49,4.4,39.1,2010,Rockstar Games,Nintendo,53.56
ARK: Survival Evolved,"Puzzle, MMORPG",35.08,1.3,61.9,2020,Valve,Nintendo,52.78
Fallout 4,"Adventure, Simulation, Racing",132.99,2.1,75.6,2022,Rockstar Games,Electronic Arts,36.12
Sekiro: Shadows Die Twice,Strategy,45.12,8,68.4,2011,Epic Games,Sony,48.23
Hollow Knight,"Sports, First-person shooter",163.18,4.3,75.3,2001,Valve,Sony,17.17
